Differences between version 2 (plotpoints2.txt) and version 3 (plotpoints3.txt) of the regional temperature anomalies 
employed by Ruosteenoja et al. (2003) (see 
http://www.ipcc-data.org/sres/scatter_plots/scatterplots_home.html and http://www.ipcc-data.org/sres/scatter_plots/csiro_error.html for more details).

The differences apply only to the CSIRO model, and are listed below (plotpoints3.txt - plotpoints2.txt):

                                               A2,    B2,  A1FI,    B1
REGION 14, TIME SLICE 2040-2069, SEP-NOV:: -0.06, -0.08, -0.07, -0.09
REGION 14, TIME SLICE 2070-2099, DEC-FEB:: -0.04, -0.03, -0.05, -0.01
REGION 14, TIME SLICE 2070-2099, MAR-MAY::  0.14,  0.18,  0.17,  0.17
REGION 14, TIME SLICE 2070-2099, JUN-AUG:: -0.21, -0.16, -0.27, -0.14
REGION 14, TIME SLICE 2070-2099, SEP-NOV:: -0.16, -0.12, -0.20, -0.12
REGION 15, TIME SLICE 2010-2039, DEC-FEB:: -0.02, -0.03, -0.02, -0.02
REGION 15, TIME SLICE 2010-2039, MAR-MAY:: -0.02, -0.05, -0.02, -0.06
REGION 15, TIME SLICE 2010-2039, JUN-AUG::  0.01, -0.03,  0.01, -0.03
REGION 15, TIME SLICE 2010-2039, SEP-NOV:: -0.01, -0.05, -0.01, -0.05
REGION 15, TIME SLICE 2040-2069, DEC-FEB:: -0.06, -0.07, -0.07, -0.06
REGION 15, TIME SLICE 2040-2069, MAR-MAY:: -0.09, -0.11, -0.11, -0.10
REGION 15, TIME SLICE 2040-2069, JUN-AUG:: -0.03, -0.06, -0.04, -0.04
REGION 15, TIME SLICE 2040-2069, SEP-NOV:: -0.05, -0.05, -0.07, -0.07
REGION 15, TIME SLICE 2070-2099, DEC-FEB:: -0.12, -0.10, -0.15, -0.08
REGION 15, TIME SLICE 2070-2099, MAR-MAY:: -0.17, -0.11, -0.21, -0.14
REGION 15, TIME SLICE 2070-2099, JUN-AUG:: -0.05, -0.06, -0.06, -0.08
REGION 15, TIME SLICE 2070-2099, SEP-NOV:: -0.12, -0.11, -0.15, -0.11
REGION 16, TIME SLICE 2010-2039, DEC-FEB:: -0.01, -0.03, -0.02, -0.01
REGION 16, TIME SLICE 2010-2039, MAR-MAY:: -0.02, -0.04, -0.03, -0.02
REGION 16, TIME SLICE 2010-2039, JUN-AUG:: -0.00, -0.01, -0.00,  0.00
REGION 16, TIME SLICE 2010-2039, SEP-NOV:: -0.02, -0.04, -0.02, -0.03
REGION 16, TIME SLICE 2040-2069, DEC-FEB:: -0.03, -0.04, -0.03, -0.03
