n, T, pr, stat, Scenario, Region, Label, Mask, Season, Year,
121,0.3,1,25th percentile,rcp26,Antarctica (sea), ANT, sea,BS,2035,
122,0.4,2,median,rcp26,Antarctica (sea), ANT, sea,BS,2035,
123,0.9,3,75th percentile,rcp26,Antarctica (sea), ANT, sea,BS,2035,
124,2.0,5,Max,rcp26,Antarctica (sea), ANT, sea,BS,2035,
125,-1.1,-1,Min,rcp26,Antarctica (sea), ANT, sea,BS,2065,
126,0.4,2,25th percentile,rcp26,Antarctica (sea), ANT, sea,BS,2065,
127,0.7,3,median,rcp26,Antarctica (sea), ANT, sea,BS,2065,
128,1.3,5,75th percentile,rcp26,Antarctica (sea), ANT, sea,BS,2065,
129,2.2,9,Max,rcp26,Antarctica (sea), ANT, sea,BS,2065,
130,-1.2,-1,Min,rcp26,Antarctica (sea), ANT, sea,BS,2100,
131,0.3,2,25th percentile,rcp26,Antarctica (sea), ANT, sea,BS,2100,
132,0.7,3,median,rcp26,Antarctica (sea), ANT, sea,BS,2100,
133,1.6,5,75th percentile,rcp26,Antarctica (sea), ANT, sea,BS,2100,
134,2.3,8,Max,rcp26,Antarctica (sea), ANT, sea,BS,2100,
135,0.3,1,Min,rcp26,Arctic (land), ARC, land,Annual,2035,
136,1.1,4,25th percentile,rcp26,Arctic (land), ARC, land,Annual,2035,
137,1.4,6,median,rcp26,Arctic (land), ARC, land,Annual,2035,
138,1.8,8,75th percentile,rcp26,Arctic (land), ARC, land,Annual,2035,
139,3.4,20,Max,rcp26,Arctic (land), ARC, land,Annual,2035,
140,-1.1,-3,Min,rcp26,Arctic (land), ARC, land,Annual,2065,
141,1.7,7,25th percentile,rcp26,Arctic (land), ARC, land,Annual,2065,
142,2.1,9,median,rcp26,Arctic (land), ARC, land,Annual,2065,
143,2.7,11,75th percentile,rcp26,Arctic (land), ARC, land,Annual,2065,
144,5.5,31,Max,rcp26,Arctic (land), ARC, land,Annual,2065,
145,-2.9,-8,Min,rcp26,Arctic (land), ARC, land,Annual,2100,
146,1.4,6,25th percentile,rcp26,Arctic (land), ARC, land,Annual,2100,
147,1.9,9,median,rcp26,Arctic (land), ARC, land,Annual,2100,
148,2.8,11,75th percentile,rcp26,Arctic (land), ARC, land,Annual,2100,
149,5.6,34,Max,rcp26,Arctic (land), ARC, land,Annual,2100,
150,0.5,1,Min,rcp26,Arctic (land), ARC, land,BW,2035,
151,1.2,5,25th percentile,rcp26,Arctic (land), ARC, land,BW,2035,
152,1.8,8,median,rcp26,Arctic (land), ARC, land,BW,2035,
153,2.1,12,75th percentile,rcp26,Arctic (land), ARC, land,BW,2035,
154,3.8,18,Max,rcp26,Arctic (land), ARC, land,BW,2035,
155,-1.2,-4,Min,rcp26,Arctic (land), ARC, land,BW,2065,
156,2.0,10,25th percentile,rcp26,Arctic (land), ARC, land,BW,2065,
157,2.6,12,median,rcp26,Arctic (land), ARC, land,BW,2065,
158,3.2,18,75th percentile,rcp26,Arctic (land), ARC, land,BW,2065,
159,6.5,32,Max,rcp26,Arctic (land), ARC, land,BW,2065,
160,-3.9,-11,Min,rcp26,Arctic (land), ARC, land,BW,2100,
161,1.9,9,25th percentile,rcp26,Arctic (land), ARC, land,BW,2100,
162,2.5,12,median,rcp26,Arctic (land), ARC, land,BW,2100,
163,3.3,18,75th percentile,rcp26,Arctic (land), ARC, land,BW,2100,
164,6.7,36,Max,rcp26,Arctic (land), ARC, land,BW,2100,
165,0.3,0,Min,rcp26,Arctic (land), ARC, land,BS,2035,
166,0.7,3,25th percentile,rcp26,Arctic (land), ARC, land,BS,2035,
167,1.0,5,median,rcp26,Arctic (land), ARC, land,BS,2035,
168,1.5,7,75th percentile,rcp26,Arctic (land), ARC, land,BS,2035,
169,2.6,21,Max,rcp26,Arctic (land), ARC, land,BS,2035,
170,-0.2,-1,Min,rcp26,Arctic (land), ARC, land,BS,2065,
171,0.9,5,25th percentile,rcp26,Arctic (land), ARC, land,BS,2065,
172,1.2,7,median,rcp26,Arctic (land), ARC, land,BS,2065,
173,2.1,10,75th percentile,rcp26,Arctic (land), ARC, land,BS,2065,
174,4.1,31,Max,rcp26,Arctic (land), ARC, land,BS,2065,
175,-1.1,-4,Min,rcp26,Arctic (land), ARC, land,BS,2100,
176,0.7,4,25th percentile,rcp26,Arctic (land), ARC, land,BS,2100,
177,1.0,6,median,rcp26,Arctic (land), ARC, land,BS,2100,
178,2.2,10,75th percentile,rcp26,Arctic (land), ARC, land,BS,2100,
179,4.4,33,Max,rcp26,Arctic (land), ARC, land,BS,2100,
180,0.3,-1,Min,rcp26,Arctic (sea), ARC, sea,Annual,2035,
181,1.4,6,25th percentile,rcp26,Arctic (sea), ARC, sea,Annual,2035,
182,1.8,8,median,rcp26,Arctic (sea), ARC, sea,Annual,2035,
183,2.5,9,75th percentile,rcp26,Arctic (sea), ARC, sea,Annual,2035,
184,3.8,18,Max,rcp26,Arctic (sea), ARC, sea,Annual,2035,
185,-1.5,-7,Min,rcp26,Arctic (sea), ARC, sea,Annual,2065,
186,2.2,9,25th percentile,rcp26,Arctic (sea), ARC, sea,Annual,2065,
187,2.7,11,median,rcp26,Arctic (sea), ARC, sea,Annual,2065,
188,3.6,15,75th percentile,rcp26,Arctic (sea), ARC, sea,Annual,2065,
189,6.3,25,Max,rcp26,Arctic (sea), ARC, sea,Annual,2065,
190,-4.6,-15,Min,rcp26,Arctic (sea), ARC, sea,Annual,2100,
191,1.9,7,25th percentile,rcp26,Arctic (sea), ARC, sea,Annual,2100,
192,2.6,11,median,rcp26,Arctic (sea), ARC, sea,Annual,2100,
193,3.6,16,75th percentile,rcp26,Arctic (sea), ARC, sea,Annual,2100,
194,6.8,28,Max,rcp26,Arctic (sea), ARC, sea,Annual,2100,
195,0.3,-2,Min,rcp26,Arctic (sea), ARC, sea,BW,2035,
196,1.9,6,25th percentile,rcp26,Arctic (sea), ARC, sea,BW,2035,
197,2.5,10,median,rcp26,Arctic (sea), ARC, sea,BW,2035,
198,3.2,13,75th percentile,rcp26,Arctic (sea), ARC, sea,BW,2035,
199,5.2,25,Max,rcp26,Arctic (sea), ARC, sea,BW,2035,
200,-2.2,-9,Min,rcp26,Arctic (sea), ARC, sea,BW,2065,
201,3.0,11,25th percentile,rcp26,Arctic (sea), ARC, sea,BW,2065,
202,3.9,15,median,rcp26,Arctic (sea), ARC, sea,BW,2065,
203,5.0,22,75th percentile,rcp26,Arctic (sea), ARC, sea,BW,2065,
204,9.3,31,Max,rcp26,Arctic (sea), ARC, sea,BW,2065,
205,-7.3,-23,Min,rcp26,Arctic (sea), ARC, sea,BW,2100,
206,2.8,9,25th percentile,rcp26,Arctic (sea), ARC, sea,BW,2100,
207,3.6,15,median,rcp26,Arctic (sea), ARC, sea,BW,2100,
208,5.2,20,75th percentile,rcp26,Arctic (sea), ARC, sea,BW,2100,
209,10.5,37,Max,rcp26,Arctic (sea), ARC, sea,BW,2100,
210,0.0,-1,Min,rcp26,Arctic (sea), ARC, sea,BS,2035,
211,0.4,5,25th percentile,rcp26,Arctic (sea), ARC, sea,BS,2035,
212,0.6,6,median,rcp26,Arctic (sea), ARC, sea,BS,2035,
213,0.8,7,75th percentile,rcp26,Arctic (sea), ARC, sea,BS,2035,
214,1.5,16,Max,rcp26,Arctic (sea), ARC, sea,BS,2035,
215,-0.6,-4,Min,rcp26,Arctic (sea), ARC, sea,BS,2065,
216,0.7,6,25th percentile,rcp26,Arctic (sea), ARC, sea,BS,2065,
217,0.9,9,median,rcp26,Arctic (sea), ARC, sea,BS,2065,
218,1.2,12,75th percentile,rcp26,Arctic (sea), ARC, sea,BS,2065,
219,2.4,19,Max,rcp26,Arctic (sea), ARC, sea,BS,2065,
220,-1.5,-3,Min,rcp26,Arctic (sea), ARC, sea,BS,2100,
221,0.5,4,25th percentile,rcp26,Arctic (sea), ARC, sea,BS,2100,
222,0.8,8,median,rcp26,Arctic (sea), ARC, sea,BS,2100,
223,1.3,12,75th percentile,rcp26,Arctic (sea), ARC, sea,BS,2100,
224,2.7,20,Max,rcp26,Arctic (sea), ARC, sea,BS,2100,
225,0.6,-7,Min,rcp26,West Asia, WAS, land,Annual,2035,
226,0.8,-1,25th percentile,rcp26,West Asia, WAS, land,Annual,2035,
227,1.0,2,median,rcp26,West Asia, WAS, land,Annual,2035,
228,1.2,6,75th percentile,rcp26,West Asia, WAS, land,Annual,2035,
229,1.8,21,Max,rcp26,West Asia, WAS, land,Annual,2035,
230,0.2,-15,Min,rcp26,West Asia, WAS, land,Annual,2065,
231,1.0,1,25th percentile,rcp26,West Asia, WAS, land,Annual,2065,
232,1.3,6,median,rcp26,West Asia, WAS, land,Annual,2065,
233,1.8,8,75th percentile,rcp26,West Asia, WAS, land,Annual,2065,
234,2.7,20,Max,rcp26,West Asia, WAS, land,Annual,2065,
235,-0.4,-23,Min,rcp26,West Asia, WAS, land,Annual,2100,
236,0.9,1,25th percentile,rcp26,West Asia, WAS, land,Annual,2100,
237,1.2,3,median,rcp26,West Asia, WAS, land,Annual,2100,
238,1.7,9,75th percentile,rcp26,West Asia, WAS, land,Annual,2100,
239,2.7,31,Max,rcp26,West Asia, WAS, land,Annual,2100,
240,0.3,-6,Min,rcp26,West Asia, WAS, land,BW,2035,
241,0.7,1,25th percentile,rcp26,West Asia, WAS, land,BW,2035,
242,0.9,3,median,rcp26,West Asia, WAS, land,BW,2035,
243,1.2,5,75th percentile,rcp26,West Asia, WAS, land,BW,2035,
244,1.8,12,Max,rcp26,West Asia, WAS, land,BW,2035,
245,0.1,-13,Min,rcp26,West Asia, WAS, land,BW,2065,
246,0.9,0,25th percentile,rcp26,West Asia, WAS, land,BW,2065,
247,1.3,5,median,rcp26,West Asia, WAS, land,BW,2065,
248,1.9,9,75th percentile,rcp26,West Asia, WAS, land,BW,2065,
249,2.6,25,Max,rcp26,West Asia, WAS, land,BW,2065,
250,-0.9,-13,Min,rcp26,West Asia, WAS, land,BW,2100,
251,0.8,0,25th percentile,rcp26,West Asia, WAS, land,BW,2100,
252,1.3,3,median,rcp26,West Asia, WAS, land,BW,2100,
253,1.7,8,75th percentile,rcp26,West Asia, WAS, land,BW,2100,
254,2.7,16,Max,rcp26,West Asia, WAS, land,BW,2100,
255,0.7,-14,Min,rcp26,West Asia, WAS, land,BS,2035,
256,0.8,-3,25th percentile,rcp26,West Asia, WAS, land,BS,2035,
257,1.1,3,median,rcp26,West Asia, WAS, land,BS,2035,
258,1.4,6,75th percentile,rcp26,West Asia, WAS, land,BS,2035,
259,2.2,42,Max,rcp26,West Asia, WAS, land,BS,2035,
260,0.3,-17,Min,rcp26,West Asia, WAS, land,BS,2065,
261,1.1,-4,25th percentile,rcp26,West Asia, WAS, land,BS,2065,
262,1.4,5,median,rcp26,West Asia, WAS, land,BS,2065,
263,1.9,9,75th percentile,rcp26,West Asia, WAS, land,BS,2065,
264,3.1,38,Max,rcp26,West Asia, WAS, land,BS,2065,
265,0.0,-31,Min,rcp26,West Asia, WAS, land,BS,2100,
266,0.9,-1,25th percentile,rcp26,West Asia, WAS, land,BS,2100,
267,1.3,3,median,rcp26,West Asia, WAS, land,BS,2100,
268,1.9,11,75th percentile,rcp26,West Asia, WAS, land,BS,2100,
269,3.4,67,Max,rcp26,West Asia, WAS, land,BS,2100,
270,0.5,-17,Min,rcp26,Australia/North Australia, NAU, land,Annual,2035,
271,0.7,-6,25th percentile,rcp26,Australia/North Australia, NAU, land,Annual,2035,
272,0.8,0,median,rcp26,Australia/North Australia, NAU, land,Annual,2035,
273,1.0,2,75th percentile,rcp26,Australia/North Australia, NAU, land,Annual,2035,
274,1.3,8,Max,rcp26,Australia/North Australia, NAU, land,Annual,2035,
275,0.5,-21,Min,rcp26,Australia/North Australia, NAU, land,Annual,2065,
276,0.9,-10,25th percentile,rcp26,Australia/North Australia, NAU, land,Annual,2065,
277,1.1,-4,median,rcp26,Australia/North Australia, NAU, land,Annual,2065,
278,1.4,0,75th percentile,rcp26,Australia/North Australia, NAU, land,Annual,2065,
279,1.8,10,Max,rcp26,Australia/North Australia, NAU, land,Annual,2065,
280,0.4,-24,Min,rcp26,Australia/North Australia, NAU, land,Annual,2100,
281,0.8,-11,25th percentile,rcp26,Australia/North Australia, NAU, land,Annual,2100,
282,1.1,-6,median,rcp26,Australia/North Australia, NAU, land,Annual,2100,
283,1.4,0,75th percentile,rcp26,Australia/North Australia, NAU, land,Annual,2100,
284,2.4,4,Max,rcp26,Australia/North Australia, NAU, land,Annual,2100,
285,0.5,-17,Min,rcp26,Australia/North Australia, NAU, land,BW,2035,
286,0.6,-6,25th percentile,rcp26,Australia/North Australia, NAU, land,BW,2035,
287,0.8,0,median,rcp26,Australia/North Australia, NAU, land,BW,2035,
288,1.0,3,75th percentile,rcp26,Australia/North Australia, NAU, land,BW,2035,
289,1.7,8,Max,rcp26,Australia/North Australia, NAU, land,BW,2035,
290,0.6,-23,Min,rcp26,Australia/North Australia, NAU, land,BW,2065,
291,0.9,-9,25th percentile,rcp26,Australia/North Australia, NAU, land,BW,2065,
292,1.1,-2,median,rcp26,Australia/North Australia, NAU, land,BW,2065,
293,1.5,0,75th percentile,rcp26,Australia/North Australia, NAU, land,BW,2065,
294,2.4,13,Max,rcp26,Australia/North Australia, NAU, land,BW,2065,
295,0.4,-26,Min,rcp26,Australia/North Australia, NAU, land,BW,2100,
296,0.9,-12,25th percentile,rcp26,Australia/North Australia, NAU, land,BW,2100,
297,1.1,-7,median,rcp26,Australia/North Australia, NAU, land,BW,2100,
298,1.5,0,75th percentile,rcp26,Australia/North Australia, NAU, land,BW,2100,
299,3.2,3,Max,rcp26,Australia/North Australia, NAU, land,BW,2100,
