,,,,,,Temperature [degree C],,,,,Precipitation [%],,,,,
Scenario, Region, Region Label, Mask, Season, Year, Min, 25th percentile, median, 75th percentile, Max, Min, 25th percentile, median, 75th percentile, Max,
rcp26,North Asia, NAS, land,BW,2035,-0.1,0.9,1.6,2.1,3.4,2,5,7,10,18,
rcp26,North Asia, NAS, land,BW,2065,-0.4,1.6,2.1,2.4,5.7,0,7,9,13,32,
rcp26,North Asia, NAS, land,BW,2100,-1.9,1.4,2.0,2.7,5.4,1,7,10,13,29,
rcp26,North Asia, NAS, land,BS,2035,0.3,0.7,1.1,1.5,2.7,1,2,4,6,12,
rcp26,North Asia, NAS, land,BS,2065,0.3,0.9,1.4,2.0,3.8,-2,4,5,8,22,
rcp26,North Asia, NAS, land,BS,2100,-0.7,0.8,1.3,2.1,3.8,-5,4,6,8,21,
rcp26,North Indian Ocean, SAS, sea,Annual,2035,0.3,0.5,0.5,0.6,1.0,-3,-1,3,5,18,
rcp26,North Indian Ocean, SAS, sea,Annual,2065,0.5,0.6,0.8,1.1,1.4,-4,-2,5,9,23,
rcp26,North Indian Ocean, SAS, sea,Annual,2100,0.3,0.6,0.7,1.1,1.7,-11,1,6,9,23,
rcp26,North Indian Ocean, SAS, sea,BW,2035,0.3,0.5,0.5,0.7,1.0,-9,0,4,10,19,
rcp26,North Indian Ocean, SAS, sea,BW,2065,0.3,0.7,0.8,1.1,1.4,-15,-2,5,13,27,
rcp26,North Indian Ocean, SAS, sea,BW,2100,0.3,0.5,0.8,1.1,1.7,-17,1,8,14,28,
rcp26,North Indian Ocean, SAS, sea,BS,2035,0.3,0.5,0.5,0.7,1.0,-6,-1,2,6,18,
rcp26,North Indian Ocean, SAS, sea,BS,2065,0.5,0.7,0.7,1.0,1.5,-8,1,3,8,27,
rcp26,North Indian Ocean, SAS, sea,BS,2100,0.2,0.6,0.7,1.0,1.7,-16,1,4,7,17,
rcp26,Northeast Brazil, NEB, land,Annual,2035,0.4,0.6,0.8,0.9,1.3,-12,-6,-1,4,11,
rcp26,Northeast Brazil, NEB, land,Annual,2065,0.6,0.8,1.1,1.3,2.1,-15,-7,-2,1,15,
rcp26,Northeast Brazil, NEB, land,Annual,2100,0.3,0.8,1.0,1.3,2.0,-19,-5,-2,3,20,
rcp26,Northeast Brazil, NEB, land,BW,2035,0.2,0.6,0.8,0.9,1.4,-12,-7,-1,5,13,
rcp26,Northeast Brazil, NEB, land,BW,2065,0.6,0.8,1.0,1.2,1.8,-11,-6,-1,4,16,
rcp26,Northeast Brazil, NEB, land,BW,2100,0.1,0.7,1.0,1.2,2.2,-14,-4,-2,4,18,
rcp26,Northeast Brazil, NEB, land,BS,2035,0.1,0.7,0.8,0.9,1.5,-22,-9,-3,1,15,
rcp26,Northeast Brazil, NEB, land,BS,2065,0.6,0.9,1.1,1.3,2.4,-24,-12,-6,1,16,
rcp26,Northeast Brazil, NEB, land,BS,2100,0.1,0.8,1.1,1.4,2.0,-31,-11,-4,2,21,
rcp26,South America: Amazon, AMZ, land,Annual,2035,0.5,0.7,0.8,1.0,1.8,-12,-3,0,1,5,
rcp26,South America: Amazon, AMZ, land,Annual,2065,0.7,0.9,1.1,1.4,2.5,-14,-3,0,1,5,
rcp26,South America: Amazon, AMZ, land,Annual,2100,0.3,0.9,1.1,1.4,2.8,-19,-3,-1,0,5,
rcp26,South America: Amazon, AMZ, land,BW,2035,0.4,0.7,0.8,0.9,1.6,-12,-3,0,1,5,
rcp26,South America: Amazon, AMZ, land,BW,2065,0.6,0.8,1.0,1.3,2.2,-10,-3,-1,2,6,
rcp26,South America: Amazon, AMZ, land,BW,2100,0.0,0.8,1.0,1.3,2.5,-20,-4,-1,1,6,
rcp26,South America: Amazon, AMZ, land,BS,2035,0.6,0.7,0.9,1.1,1.9,-11,-3,0,1,5,
rcp26,South America: Amazon, AMZ, land,BS,2065,0.8,1.0,1.1,1.6,2.9,-19,-4,0,2,7,
rcp26,South America: Amazon, AMZ, land,BS,2100,0.5,0.9,1.1,1.5,2.8,-17,-5,-2,1,10,
rcp26,South Asia, SAS, land,Annual,2035,0.2,0.6,0.8,0.9,1.3,-2,0,3,4,8,
rcp26,South Asia, SAS, land,Annual,2065,0.7,0.9,1.0,1.4,2.0,-5,2,5,7,14,
rcp26,South Asia, SAS, land,Annual,2100,0.2,0.9,1.0,1.4,2.3,-5,1,5,8,15,
rcp26,South Asia, SAS, land,BW,2035,0.2,0.7,0.8,1.1,1.7,-11,-2,0,5,10,
rcp26,South Asia, SAS, land,BW,2065,0.5,0.9,1.2,1.6,2.3,-13,0,3,7,19,
rcp26,South Asia, SAS, land,BW,2100,0.1,0.8,1.1,1.5,2.4,-20,2,5,9,27,
rcp26,South Asia, SAS, land,BS,2035,0.2,0.5,0.7,0.9,1.2,-3,1,3,5,9,
rcp26,South Asia, SAS, land,BS,2065,0.5,0.8,0.9,1.3,1.9,-7,3,5,7,15,
rcp26,South Asia, SAS, land,BS,2100,-0.1,0.7,0.9,1.1,2.2,-10,1,5,7,17,
rcp26,South Australia/New Zealand, SAU, land,Annual,2035,0.4,0.5,0.7,0.8,0.9,-16,-4,0,1,4,
rcp26,South Australia/New Zealand, SAU, land,Annual,2065,0.6,0.7,0.9,1.1,1.4,-18,-5,-1,0,4,
rcp26,South Australia/New Zealand, SAU, land,Annual,2100,0.3,0.7,0.9,1.0,1.5,-19,-6,-3,0,8,
rcp26,South Australia/New Zealand, SAU, land,BW,2035,0.3,0.5,0.7,0.9,1.3,-17,-4,-1,1,8,
rcp26,South Australia/New Zealand, SAU, land,BW,2065,0.5,0.8,1.0,1.3,1.8,-18,-6,-3,2,6,
rcp26,South Australia/New Zealand, SAU, land,BW,2100,0.3,0.8,1.0,1.3,1.9,-23,-10,-3,0,7,
rcp26,South Australia/New Zealand, SAU, land,BS,2035,0.3,0.5,0.6,0.7,0.9,-18,-3,0,1,5,
rcp26,South Australia/New Zealand, SAU, land,BS,2065,0.4,0.7,0.8,1.0,1.4,-22,-6,-2,3,9,
rcp26,South Australia/New Zealand, SAU, land,BS,2100,0.3,0.6,0.7,1.0,1.5,-16,-6,-1,1,9,
rcp26,Southeast Asia (land), SEA, land,Annual,2035,0.3,0.5,0.6,0.7,1.2,-5,-1,0,2,8,
rcp26,Southeast Asia (land), SEA, land,Annual,2065,0.5,0.7,0.8,1.1,1.6,-4,0,1,4,7,
rcp26,Southeast Asia (land), SEA, land,Annual,2100,0.2,0.7,0.8,1.2,1.9,-5,0,1,4,10,
rcp26,Southeast Asia (land), SEA, land,BW,2035,0.3,0.5,0.6,0.7,1.2,-5,-1,0,2,10,
rcp26,Southeast Asia (land), SEA, land,BW,2065,0.4,0.7,0.9,1.1,1.6,-5,-1,2,4,9,
rcp26,Southeast Asia (land), SEA, land,BW,2100,0.2,0.7,0.8,1.2,2.0,-5,0,2,4,9,
rcp26,Southeast Asia (land), SEA, land,BS,2035,0.3,0.5,0.6,0.7,1.2,-5,-1,1,3,6,
rcp26,Southeast Asia (land), SEA, land,BS,2065,0.5,0.7,0.8,1.1,1.7,-5,-1,1,5,7,
rcp26,Southeast Asia (land), SEA, land,BS,2100,0.2,0.6,0.8,1.0,1.8,-6,0,1,3,11,
